n_obs,MAE,RMSE,MAPE_%,Mean_Bias,R2,moneyness_bucket,maturity_bucket
849,11.07530218702217,30.04814893831285,71.0643552901188,-6.2455487995386125,0.9984963744273455,Deep OTM Put / ITM Call,0-3d
3094,14.170351686940398,33.41328593036527,66.25243676572212,-3.0361951084987036,0.9980703966988015,Deep OTM Put / ITM Call,4-7d
3427,16.658106606126044,35.836392937768395,65.07789462424687,-6.037067318991339,0.9971165882995778,Deep OTM Put / ITM Call,8-14d
11611,27.819956236859973,37.640345620159096,52.59493524582387,-21.515021086263875,0.9975001021963003,Deep OTM Put / ITM Call,15d+
244,13.211629834487137,18.633090691652857,44.613632857638905,-11.698204937457321,0.9950048928088132,OTM Put,0-3d
904,15.33088720738424,25.20296611889178,16.60433040647641,-5.3652325795985645,0.9908094864063975,OTM Put,4-7d
1122,18.106327914970798,26.59173417189692,11.469810597879059,-10.706360935131624,0.9901722099103608,OTM Put,8-14d
4208,29.280782018448896,38.2647562750906,10.38328457639507,-18.06822819463944,0.9854296917018753,OTM Put,15d+
250,13.365357633720349,16.77359387755453,18.592814873397206,-9.812048518885359,0.9479538862536058,ATM,0-3d
942,15.574092160678372,21.61042066812848,11.2473872750149,5.059366509590856,0.9270209869728261,ATM,4-7d
1192,14.828779309679328,20.116238826706002,6.445233238992905,0.43814033077545617,0.9460959734305531,ATM,8-14d
5187,24.476398623472786,32.65557981848603,5.971548080173164,-1.7466226644875473,0.9605625744392908,ATM,15d+
252,10.683674212975792,14.572697209685497,44.033863494719064,2.548989500433011,0.9966522301346947,OTM Call,0-3d
948,15.791923954860042,26.153623388837545,14.445935458459449,5.608129563850164,0.9886735667195192,OTM Call,4-7d
1179,16.906990350293068,25.275611119425058,9.73838352397133,7.714134678184587,0.9883397127723151,OTM Call,8-14d
4450,29.99790042800203,42.960237771086284,7.787352225912687,17.857255590879344,0.9601529921198384,OTM Call,15d+
792,13.32246969085354,30.01971086450707,61.61432716613106,5.287156277167051,0.9988920590211879,Deep OTM Call / ITM Put,0-3d
2940,18.101113504977107,42.46634044488284,54.90035833242453,5.144047935590561,0.9973631787635995,Deep OTM Call / ITM Put,4-7d
3299,17.492457616776253,41.41046791132482,42.42886103085144,4.41948758173509,0.9971900926651559,Deep OTM Call / ITM Put,8-14d
9829,31.140182827110756,51.35498744533688,31.699208135386346,23.858935293506843,0.9967560372069513,Deep OTM Call / ITM Put,15d+
